main-captions	MSRvid	2012test	1	5.0	Самолет взлетает.	Воздух самолет взлетает.
main-captions	MSRvid	2012test	4	3.8	Человек играет большую флейту.	Человек играет на флейте.
main-captions	MSRvid	2012test	5	3.8	Человек распространяет shreded сыр на пицце.	Человек распространяется тертый сыр на сырой пиццы.
main-captions	MSRvid	2012test	6	2.6	Трое мужчин играют в шахматы.	Двое мужчин играют в шахматы.
main-captions	MSRvid	2012test	9	4.25	Человек играет на виолончели.	Человек сидит играет на виолончели.
main-captions	MSRvid	2012test	11	4.25	Некоторые мужчины дерутся.	Двое мужчин дерутся.
main-captions	MSRvid	2012test	12	0.5	Человек курит.	Человек на коньках.
main-captions	MSRvid	2012test	13	1.6	Человек играет на пианино.	Человек играет на гитаре.
main-captions	MSRvid	2012test	14	2.2	Человек играет на гитаре и петь.	Женщина играет на акустической гитаре и петь.
main-captions	MSRvid	2012test	16	5.0	Человек бросает кошку на потолок.	Человек бросает кошку на потолке.
main-captions	MSRvid	2012test	17	4.2	Человек ударил другой человек с палкой.	Человек шлепал другой человек с палкой.
main-captions	MSRvid	2012test	18	4.6	Женщина поднимает и держит ребенок кенгуру.	Женщина поднимает и держит кенгуру ребенка на руках.
main-captions	MSRvid	2012test	19	3.867	Человек играет на флейте.	Человек играет бамбуковую флейту.
main-captions	MSRvid	2012test	20	4.667	Человек складывает бумажку.	Кто-то складывает бумажку.
main-captions	MSRvid	2012test	21	1.6669999999999998	Человек работает на дороге.	Панда собака работает на дороге.
main-captions	MSRvid	2012test	22	3.75	Собака пытается получить бекон с его спины.	Собака пытается съесть сало на его спине.
main-captions	MSRvid	2012test	25	5.0	Белый медведь скользит по снегу.	Белый медведь скользит по снегу.
main-captions	MSRvid	2012test	26	0.5	Женщина пишет.	Женщина плавание.
main-captions	MSRvid	2012test	28	3.8	Кошка трется лицом ребенка.	Кошка трется ребенком.
main-captions	MSRvid	2012test	29	5.0	Человек верхом на лошади.	Человек верхом на лошади.
main-captions	MSRvid	2012test	30	3.2	Человек наливает масло в кастрюлю.	Человек наливает вино в кастрюлю.
main-captions	MSRvid	2012test	31	2.8	Человек играет на гитаре.	Девушка играет на гитаре.
main-captions	MSRvid	2012test	32	4.6	Панда скользит вниз слайд.	Панда скользит вниз слайд.
main-captions	MSRvid	2012test	34	3.0	Женщина ест что-то.	Женщина ест мясо.
main-captions	MSRvid	2012test	35	5.0	Женщина чистит картошку.	Женщина пилинга картофель.
main-captions	MSRvid	2012test	38	4.8	Мальчик упал с велосипеда.	Мальчик падает с велосипеда.
main-captions	MSRvid	2012test	40	5.0	Женщина играет на флейте.	Женщина играет на флейте.
main-captions	MSRvid	2012test	42	4.2	Кролик бежит от орла.	Заяц бежит от орла.
main-captions	MSRvid	2012test	44	4.2	Женщина жарить панировку свиной отбивной.	Женщина приготовления панировке свиная отбивная.
main-captions	MSRvid	2012test	46	4.0	Девушка летит змей.	Девушка работает летит змей.
main-captions	MSRvid	2012test	47	4.0	Человек едет механический бык.	Человек ехал на механическом быке.
main-captions	MSRvid	2012test	48	4.909	Человек играет на гитаре.	Человек играет на гитаре.
main-captions	MSRvid	2012test	50	3.0	Женщина танцует и поет с другими женщинами.	Женщина танцует и поет под дождем.
main-captions	MSRvid	2012test	52	2.4	Человек нарезка булочку.	Человек режет лук.
main-captions	MSRvid	2012test	53	4.2	Человек заливки масла в поддон.	Человек заливки масла в сковороде.
main-captions	MSRvid	2012test	54	3.4	Лев играет с людьми.	Лев играет с двумя мужчинами.
main-captions	MSRvid	2012test	55	5.0	Собака катается на скейтборде.	Собака катается на скейтборде.
main-captions	MSRvid	2012test	56	3.75	Кто-то вырезает статую.	Человек вырезает статую.
main-captions	MSRvid	2012test	57	2.75	Женщина режет лук.	Человек режет лук.
main-captions	MSRvid	2012test	58	5.0	Женщина кожица креветки.	Женщина пилинг креветки.
main-captions	MSRvid	2012test	59	4.0	Женщина жарки рыбы.	Женщина готовит рыбу.
main-captions	MSRvid	2012test	61	3.6	Женщина играет на гитаре.	Женщина играет на гитаре.
main-captions	MSRvid	2012test	62	1.6	Ребенок тигр играет с мячом.	Ребенок играет с куклой.
main-captions	MSRvid	2012test	64	1.75	Человек режет помидор.	Человек режет мясо.
main-captions	MSRvid	2012test	65	5.0	Человек режет лук.	Человек режет лук.
main-captions	MSRvid	2012test	68	1.0	Человек играет на пианино.	Женщина играет на скрипке.
main-captions	MSRvid	2012test	69	1.0	Женщина играет на флейте.	Человек играет на гитаре.
main-captions	MSRvid	2012test	70	2.375	Человек резки картофеля.	Человек режет морковь.
main-captions	MSRvid	2012test	71	3.8	Ребенок играет на гитаре.	Мальчик играет на гитаре.
main-captions	MSRvid	2012test	72	3.2	Мальчик играет на гитаре.	Человек играет на гитаре.
main-captions	MSRvid	2012test	73	3.2	Человек играет на гитаре.	Мальчик играет на гитаре.
main-captions	MSRvid	2012test	75	4.4	Маленький мальчик играет клавиатуру.	Мальчик играет ключевую доску.
main-captions	MSRvid	2012test	77	3.75	Человек играет на гитаре.	Человек играет на электрогитаре.
main-captions	MSRvid	2012test	78	4.75	Собака лижет ребенок.	Собака лижет ребенок.
main-captions	MSRvid	2012test	80	3.2	Женщина режет лук.	Человек резки и лук.
main-captions	MSRvid	2012test	81	1.556	Человек играет на гитаре.	Человек играет на барабанах.
main-captions	MSRvid	2012test	83	3.938	Женщина нарезка перец.	Женщина резки красного перца.
main-captions	MSRvid	2012test	84	5.0	Человек играет на барабанах.	Человек играет барабан.
main-captions	MSRvid	2012test	85	5.0	Женщина едет на лошади.	Женщина верхом на лошади.
main-captions	MSRvid	2012test	86	4.0	Человек ест банан на дереве.	Человек ест банан.
main-captions	MSRvid	2012test	87	1.6	Кошка играет ключевую доску.	Человек играет две клавиатуры.
main-captions	MSRvid	2012test	89	4.75	Человек срубает дерево с топором.	Человек спилить дерево с топором.
main-captions	MSRvid	2012test	90	3.5	Ребенок играет с игрушечным телефоном.	Маленький мальчик играет с игрушечным телефоном.
main-captions	MSRvid	2012test	93	1.4	Человек едет на мотоцикле.	Человек верхом на лошади.
main-captions	MSRvid	2012test	94	1.4	Человек едет на мотоцикле.	Человек верхом на лошади.
main-captions	MSRvid	2012test	99	4.0	Белка вращается по кругу.	Белка бегает по кругу.
main-captions	MSRvid	2012test	101	5.0	Мужчина и женщина целуются.	Мужчина и женщина целуются.
main-captions	MSRvid	2012test	102	3.833	Человек садится в машину.	Человек садится в машину в гараже.
main-captions	MSRvid	2012test	104	0.6	Человек танцует.	Человек разговаривает.
main-captions	MSRvid	2012test	105	2.917	Человек играет на гитаре и поет.	Человек играет на гитаре.
main-captions	MSRvid	2012test	106	4.2	Человек режет грибы.	Человек режет грибы с ножом.
main-captions	MSRvid	2012test	108	2.0	Тигренок издает звук.	Тигр ходит.
main-captions	MSRvid	2012test	109	2.6	Человек режет лук.	Человек пилинг лука.
main-captions	MSRvid	2012test	110	1.6	Человек играет на пианино.	Человек играет на трубе.
main-captions	MSRvid	2012test	111	2.0	Женщина пилинга картофель.	Женщина пилинг яблоко.
main-captions	MSRvid	2012test	112	4.2	Pankda ест бамбук.	Панда медведь ест немного бамбука.
main-captions	MSRvid	2012test	113	2.0	Человек пилинг лука.	Человек пилинг баклажан.
main-captions	MSRvid	2012test	114	4.8	Обезьяна толкает другую обезьяну.	Обезьяна толкнул другую обезьяну.
main-captions	MSRvid	2012test	115	4.4	Белка бегает по кругу.	Белка движется по кругу.
main-captions	MSRvid	2012test	116	5.0	Человек завязывают ботинки.	Человек связывает его обувь.
main-captions	MSRvid	2012test	117	3.0	Мальчик поет и играет на пианино.	Мальчик играет на пианино.
main-captions	MSRvid	2012test	118	4.25	Собака ест арбуз.	Собака ест кусок арбуза.
main-captions	MSRvid	2012test	119	4.25	Женщина измельчения брокколи.	Женщина измельчения брокколи с ножом.
main-captions	MSRvid	2012test	120	3.8	Человек пилинг картофеля.	Человек очищенный с картофельным.
main-captions	MSRvid	2012test	121	2.4	Женщина играет на гитаре.	Человек играет на гитаре.
main-captions	MSRvid	2012test	123	1.6	Женщина режет помидоры.	Человек режет лук.
main-captions	MSRvid	2012test	125	2.0	Человек плавает под водой.	Женщина плывет под водой.
main-captions	MSRvid	2012test	126	1.6	Мужчина и женщина говорят.	Мужчина и женщина ест.
main-captions	MSRvid	2012test	129	4.0	Маленькая собака гонится йога мяч.	Собака преследует мяч.
main-captions	MSRvid	2012test	130	2.2	Мужчины играют в крикет.	Мужчины играют в баскетбол.
